Model,Location,MAPE,horizon,reference_date
MOBS-GLEAM_FLUH,15,0.782258064516129,3,2024-12-14
MOBS-GLEAM_FLUH,16,0.28991596638655465,3,2024-12-14
MOBS-GLEAM_FLUH,17,0.9182754182754183,3,2024-12-14
MOBS-GLEAM_FLUH,18,0.8870967741935484,3,2024-12-14
MOBS-GLEAM_FLUH,19,0.7771084337349398,3,2024-12-14
MOBS-GLEAM_FLUH,20,0.8571428571428571,3,2024-12-14
MOBS-GLEAM_FLUH,21,0.8507692307692307,3,2024-12-14
MOBS-GLEAM_FLUH,22,0.5634266886326195,3,2024-12-14
MOBS-GLEAM_FLUH,23,0.9204545454545454,3,2024-12-14
MOBS-GLEAM_FLUH,24,0.8943488943488943,3,2024-12-14
