Model,location,target_end_date,wis,horizon,reference_date,baseline,wis_baseline,wis_ratio
NU_UCSD-GLEAM_AI_FLUH,36,2024-04-27,33.023096521739134,0,2024-04-27,FluSight-baseline,33.7462847826087,0.9785698406349531
CEPH-Rtrend_fluH,37,2024-04-27,4.642291304347827,0,2024-04-27,FluSight-baseline,6.624654347826085,0.700759777130292
FluSight-ensemble,37,2024-04-27,6.048126755922168,0,2024-04-27,FluSight-baseline,6.624654347826085,0.912972426690744
MIGHTE-Nsemble,37,2024-04-27,12.48949636685452,0,2024-04-27,FluSight-baseline,6.624654347826085,1.885305362528539
MOBS-GLEAM_FLUH,37,2024-04-27,3.226731304347826,0,2024-04-27,FluSight-baseline,6.624654347826085,0.48707919461589644
NU_UCSD-GLEAM_AI_FLUH,37,2024-04-27,27.010798260869564,0,2024-04-27,FluSight-baseline,6.624654347826085,4.077314353726742
CEPH-Rtrend_fluH,38,2024-04-27,1.6469565217391302,0,2024-04-27,FluSight-baseline,3.008569565217391,0.5474217850170021
FluSight-ensemble,38,2024-04-27,2.0336406994675893,0,2024-04-27,FluSight-baseline,3.008569565217391,0.6759493690885103
MIGHTE-Nsemble,38,2024-04-27,2.3999021672098837,0,2024-04-27,FluSight-baseline,3.008569565217391,0.7976887737466936
MOBS-GLEAM_FLUH,38,2024-04-27,0.9065217391304349,0,2024-04-27,FluSight-baseline,3.008569565217391,0.3013132053221884
NU_UCSD-GLEAM_AI_FLUH,38,2024-04-27,1.4828304347826093,0,2024-04-27,FluSight-baseline,3.008569565217391,0.4928689208073751
CEPH-Rtrend_fluH,39,2024-04-27,4.73,0,2024-04-27,FluSight-baseline,21.867836956521735,0.2162993994058179
FluSight-ensemble,39,2024-04-27,10.599001358936771,0,2024-04-27,FluSight-baseline,21.867836956521735,0.4846844879998882
MIGHTE-Nsemble,39,2024-04-27,20.140855163830302,0,2024-04-27,FluSight-baseline,21.867836956521735,0.9210264007306681
MOBS-GLEAM_FLUH,39,2024-04-27,6.5252173913043485,0,2024-04-27,FluSight-baseline,21.867836956521735,0.29839336209968886
NU_UCSD-GLEAM_AI_FLUH,39,2024-04-27,37.52984260869566,0,2024-04-27,FluSight-baseline,21.867836956521735,1.7162119272845127
CEPH-Rtrend_fluH,40,2024-04-27,7.232173913043479,0,2024-04-27,FluSight-baseline,4.2201521739130445,1.713723490292437
FluSight-ensemble,40,2024-04-27,4.0959978248339945,0,2024-04-27,FluSight-baseline,4.2201521739130445,0.9705805990014975
MIGHTE-Nsemble,40,2024-04-27,6.181600134480008,0,2024-04-27,FluSight-baseline,4.2201521739130445,1.4647813348276144
MOBS-GLEAM_FLUH,40,2024-04-27,3.6674878260869574,0,2024-04-27,FluSight-baseline,4.2201521739130445,0.8690416067831883
NU_UCSD-GLEAM_AI_FLUH,40,2024-04-27,11.353305217391306,0,2024-04-27,FluSight-baseline,4.2201521739130445,2.690259675367156
CEPH-Rtrend_fluH,41,2024-04-27,4.1943478260869576,0,2024-04-27,FluSight-baseline,2.1833739130434786,1.9210396355062769
FluSight-ensemble,41,2024-04-27,3.8947790548519063,0,2024-04-27,FluSight-baseline,2.1833739130434786,1.7838351148122138
MIGHTE-Nsemble,41,2024-04-27,5.981455234697579,0,2024-04-27,FluSight-baseline,2.1833739130434786,2.739546899852727
MOBS-GLEAM_FLUH,41,2024-04-27,6.7848695652173925,0,2024-04-27,FluSight-baseline,2.1833739130434786,3.1075160899764227
NU_UCSD-GLEAM_AI_FLUH,41,2024-04-27,3.9738121739130445,0,2024-04-27,FluSight-baseline,2.1833739130434786,1.8200328171796345
CEPH-Rtrend_fluH,42,2024-04-27,5.8017391304347825,0,2024-04-27,FluSight-baseline,20.89401086956522,0.2776747445310154
FluSight-ensemble,42,2024-04-27,10.187969402884649,0,2024-04-27,FluSight-baseline,20.89401086956522,0.48760237881012686
MIGHTE-Nsemble,42,2024-04-27,9.73538537421594,0,2024-04-27,FluSight-baseline,20.89401086956522,0.4659414334084015
MOBS-GLEAM_FLUH,42,2024-04-27,9.118895217391305,0,2024-04-27,FluSight-baseline,20.89401086956522,0.43643584155850773
NU_UCSD-GLEAM_AI_FLUH,42,2024-04-27,18.949540000000002,0,2024-04-27,FluSight-baseline,20.89401086956522,0.9069364478795411
CEPH-Rtrend_fluH,44,2024-04-27,1.103913043478261,0,2024-04-27,FluSight-baseline,2.4540086956521736,0.449840722012962
FluSight-ensemble,44,2024-04-27,1.3404767512045113,0,2024-04-27,FluSight-baseline,2.4540086956521736,0.5462396093296109
MIGHTE-Nsemble,44,2024-04-27,1.9208785534488921,0,2024-04-27,FluSight-baseline,2.4540086956521736,0.782751323111511
MOBS-GLEAM_FLUH,44,2024-04-27,0.8939130434782608,0,2024-04-27,FluSight-baseline,2.4540086956521736,0.364266453114868
NU_UCSD-GLEAM_AI_FLUH,44,2024-04-27,1.3613973913043478,0,2024-04-27,FluSight-baseline,2.4540086956521736,0.5547646973363902
CEPH-Rtrend_fluH,45,2024-04-27,5.724347826086956,0,2024-04-27,FluSight-baseline,11.64615,0.49152276298063785
FluSight-ensemble,45,2024-04-27,6.419166960554821,0,2024-04-27,FluSight-baseline,11.64615,0.5511836066472457
MIGHTE-Nsemble,45,2024-04-27,9.583312271543685,0,2024-04-27,FluSight-baseline,11.64615,0.8228738485717326
MOBS-GLEAM_FLUH,45,2024-04-27,2.962763913043479,0,2024-04-27,FluSight-baseline,11.64615,0.25439857060431803
